code,product_name,brands,categories,nutriscore_grade,nova_group,ecoscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,ingredients_text,allergens,additives_n,image_url,nutriscore_numeric,ecoscore_numeric
6111242103702,Yaourt Grec Muesli,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts à la grecque, Yaourts au lait de brebis",c,3.0,b,140.0,7.0,4.0,16.1,9.0,,3.3,0.0,"Lait frais, crème, poudre lait, sucre, amidon, préparation de céréales et de fruits secs (amandes, noix, miel, raisins secs, blé, avoine, seigle), ferments lactiques, arômes Matière grasse: 7%",,0.0,https://images.openfoodfacts.org/images/products/611/124/210/3702/front_fr.4.400.jpg,3.0,2.0
6111032008453,Danino,Danone,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts à la fraise, Yaourt aromatisé sucré",c,,b,132.2,6.3,4.3,12.3,8.6,,6.5,0.07,Danino,,0.0,https://images.openfoodfacts.org/images/products/611/103/200/8453/front_fr.4.400.jpg,3.0,2.0
6111242102002,Ghilal Yaourt zr3,Jaouda,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, en:stirred-yogurts",c,4.0,b,106.0,3.0,2.2,16.0,7.5,1.1,3.5,0.0,"Ingré&lents : lait entier enrichi en crème, sucre, poudre de lait écrémé, texturant : amidon, préparation de céréales, fibres, arômes, ferments ladiques et colorant naturel. Matière grasse : 3,4 % Poids net : 110 g",,0.0,https://images.openfoodfacts.org/images/products/611/124/210/2002/front_en.22.400.jpg,3.0,2.0
6111242102767,Yaourt tendre,Jaouda,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Desserts lactés fermentés aux fruits,Yaourts,Yaourts aux fruits,Laitier",c,4.0,b,121.0,5.0,0.0,14.9,14.9,,4.2,0.0,"Lait frais, crème, sucre, poudre de lait écrémé, ferments lactiques, arôme, vitamines A et D3",en:milk,0.0,https://images.openfoodfacts.org/images/products/611/124/210/2767/front_fr.4.400.jpg,3.0,2.0
6111266962446,6111266962446,,Yaourts,d,4.0,b,167.8,7.4,4.8,,20.0,,5.3,0.0,"Lait frais entier, crème, préparation aux morceaux de chocolat, sucre, poudre de lait écrémé, texturant : amidon, arômes, ferments lactiques sélectionnés, colorant naturel",,0.0,https://images.openfoodfacts.org/images/products/611/126/696/2446/front_fr.3.400.jpg,4.0,2.0
6111032002925,Yaourt Nature,Danone,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Yaourts natures",b,,b,66.2,3.0,2.0,6.7,6.7,,3.0,0.34125,ا المكونات حليب بدون قشدة، قشدة، مس رن الحليب بدون قشدة، مخثرات )نشويات(، نكهة، خمائرحليبية ل ليوغورت. م.د: %3 مصنوع خط قد بمكن أن يحتوي على الكلوتين، الجوز واللوز. منتوج حليبي م مزوج الوزن الصافي : 110غ. رقم الإعتماد الصحي LPL2113،0NS SA,,0.0,https://images.openfoodfacts.org/images/products/611/103/200/2925/front_fr.44.400.jpg,2.0,2.0
6111032004455,Dan up,Danone,"Boissons et préparations de boissons,Boissons,Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Boissons lactées,Desserts lactés fermentés,Boissons fermentées,Yaourts,Boissons lactées fermentées",unknown,4.0,e,46.4706,0.7059,0.4706,8.6471,6.2353,,1.4118,,"Milk without whipped cream, milk powder without whipped cream, milky proteins, whipped cream, butter, coagulant (starch). Flavor, yeast for yogurt.",en:milk,0.0,https://images.openfoodfacts.org/images/products/611/103/200/4455/front_en.25.400.jpg,,5.0
5036589200970,Greek Style Yoghurt,Yeo Valley,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Yaourts natures,Yaourts au lait de vache,Yaourts à la grecque",c,1.0,a-plus,115.0,8.3,5.5,4.9,4.9,,4.5,0.0975,Milk,en:milk,0.0,https://images.openfoodfacts.org/images/products/503/658/920/0970/front_en.24.400.jpg,3.0,
6111242100299,Jaouda Cremy Yaourt - Yougart With Strawberries,Jaouda,en:yogurts,a,,b,109.0,3.0,1.0,16.9,1.0,,3.6,0.0,حليب طري، سكر، مسحوق الحليب بدون قشدة ،مخثر:نشا،قشدة،نكهات ،خمائر حليبية مختارة،,,0.0,https://images.openfoodfacts.org/images/products/611/124/210/0299/front_ar.20.400.jpg,1.0,2.0
3329770073265,Skyr,Yoplait,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Plain fermented dairy desserts,Skyrs,Plain skyrs",a,1.0,a,57.0,0.5,0.1,3.6,3.6,0.5,9.5,0.15,Yaourt maigre (LAIT),en:milk,0.0,https://images.openfoodfacts.org/images/products/332/977/007/3265/front_fr.74.400.jpg,1.0,1.0
