alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_sci,"energie, règlement ue n° 1169/2011 (kj/100 g)","energie, règlement ue n° 1169/2011 (kcal/100 g)","energie, n x facteur jones, avec fibres  (kj/100 g)","energie, n x facteur jones, avec fibres  (kcal/100 g)",eau (g/100 g),"protéines, n x facteur de jones (g/100 g)","protéines, n x 6.25 (g/100 g)",glucides (g/100 g),lipides (g/100 g),sucres (g/100 g),fructose (g/100 g),galactose (g/100 g),glucose (g/100 g),lactose (g/100 g),maltose (g/100 g),saccharose (g/100 g),amidon (g/100 g),fibres alimentaires (g/100 g),polyols totaux (g/100 g),cendres (g/100 g),alcool (g/100 g),acides organiques (g/100 g),ag saturés (g/100 g),ag monoinsaturés (g/100 g),ag polyinsaturés (g/100 g),"ag 4:0, butyrique (g/100 g)","ag 6:0, caproïque (g/100 g)","ag 8:0, caprylique (g/100 g)","ag 10:0, caprique (g/100 g)","ag 12:0, laurique (g/100 g)","ag 14:0, myristique (g/100 g)","ag 16:0, palmitique (g/100 g)","ag 18:0, stéarique (g/100 g)","ag 18:1 9c (n-9), oléique (g/100 g)","ag 18:2 9c,12c (n-6), linoléique (g/100 g)","ag 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","ag 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","ag 20:5 5c,8c,11c,14c,17c (n-3) epa (g/100 g)","ag 22:6 4c,7c,10c,13c,16c,19c (n-3) dha (g/100 g)",cholestérol (mg/100 g),sel chlorure de sodium (g/100 g),calcium (mg/100 g),chlorure (mg/100 g),cuivre (mg/100 g),fer (mg/100 g),iode (µg/100 g),magnésium (mg/100 g),manganèse (mg/100 g),phosphore (mg/100 g),potassium (mg/100 g),sélénium (µg/100 g),sodium (mg/100 g),zinc (mg/100 g),rétinol (µg/100 g),beta-carotène (µg/100 g),vitamine d (µg/100 g),vitamine e (mg/100 g),vitamine k1 (µg/100 g),vitamine k2 (µg/100 g),vitamine c (mg/100 g),vitamine b1 ou thiamine (mg/100 g),vitamine b2 ou riboflavine (mg/100 g),vitamine b3 ou pp ou niacine (mg/100 g),vitamine b5 ou acide pantothénique (mg/100 g),vitamine b6 (mg/100 g),vitamine b9 ou folates totaux (µg/100 g),vitamine b12 (µg/100 g)
0,0,0,,,,24999,Dessert (aliment moyen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,178.0,,,11.0,,,107.0,181.0,,153.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25601,"Salade de thon et légumes, appertisée",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,731.0,,,2.0,,,,232.0,,445.0,,,,,,,,,,,,,,31.0,
1,101,0,entrées et plats composés,salades composées et crudités,,25602,"Salade composée avec viande ou poisson, appertisée",,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,22.0,584.0,,,,20.0,,92.0,220.0,30.0,381.0,,,781.0,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25605,"Champignons à la grecque, appertisés",,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,277.0,,500.0,,0.0,747.0,0.0,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25606,"Salade de pommes de terre, fait maison",,,,,,76.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,68.0,,19.0,,,,,15.0,,52.0,254.0,,529.0,,29.0,36.0,0.0,,,,10.0,,,,,,7.0,0.0
1,101,0,entrées et plats composés,salades composées et crudités,,25608,"Taboulé ou Salade de couscous, préemballé",,753.0,179.0,753.0,179.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,24.0,647.0,,,,25.0,,80.0,210.0,,399.0,,0.0,149.0,0.0,,,,,,,,,,,0.0
1,101,0,entrées et plats composés,salades composées et crudités,,25609,"Salade de pomme de terre à la piémontaise, préemballée",,542.0,130.0,542.0,130.0,,,,,,,,,,,,,6.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,13.0,709.0,,,,16.0,,72.0,300.0,,433.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25614,"Salade de riz, appertisée",,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,431.0,,,34.0,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25615,"Salade de pâtes, végétarienne",,,,,,,,,,,,,0.0,,0.0,,,10.0,,,,0.0,,,,,,,,,,,,,,,,,,,6.0,,14.0,86.0,,,4.0,11.0,,37.0,84.0,,51.0,,7.0,1180.0,0.0,,,,21.0,,,,0.0,,16.0,0.0
1,101,0,entrées et plats composés,salades composées et crudités,,25616,"Crudité, sans assaisonnement (aliment moyen)",,125.0,,125.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,,,,,1930.0,,,24.0,,,,,,,,,0.0
1,101,0,entrées et plats composés,salades composées et crudités,,25619,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",,,,,,,,,14.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,19.0,492.0,,,,,,,193.0,,378.0,,11.0,494.0,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25626,"Macédoine de légumes en salade, avec sauce, préemballée",,,,,,,,,7.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25628,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",,,,,,,,,,10.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,100.0,483.0,,,,19.0,,150.0,300.0,,301.0,,,627.0,,,32.0,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25629,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",,704.0,168.0,699.0,167.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,37.0,484.0,,,,46.0,,110.0,140.0,,309.0,,,611.0,,,10.0,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26257,"Carottes râpées, avec sauce, préemballées",,,,,,,,,,5.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,264.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26258,"Salade de betterave, avec sauce, préemballée",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,21.0,,,4.0,,,,,,,280.0,,,,,,,,5.0,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26259,"Salade de chou ou Coleslaw, avec sauce, préemballée",,435.0,105.0,435.0,105.0,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,39.0,556.0,,,,,,29.0,210.0,,353.0,,,1340.0,,,23.0,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26260,"Salade de concombre à la crème/fromage blanc, préemballée",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26261,"Salade de lentilles et saucisse fumée, préemballée",,,,,,,7.0,7.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26262,"Salade grecque, avec sauce, préemballée",,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26263,"Salade de riz à la niçoise, avec sauce, préemballée",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,26269,"Taboulé ou Salade de couscous au poulet, préemballé",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,18.0,661.0,,,,24.0,,100.0,190.0,,424.0,,,135.0,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25900,"Soupe aux lentilles, préemballée à réchauffer",,232.0,55.0,232.0,55.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,3.0,,25.0,,,,4.0,19.0,,74.0,144.0,,143.0,,0.0,430.0,,0.0,,,,,,,,,20.0,
1,102,0,entrées et plats composés,soupes,,25901,"Soupe à la volaille et aux légumes, préemballée à réchauffer",,129.0,,129.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25903,"Soupe aux légumes variés, préemballée à réchauffer",,165.0,,165.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,14.0,442.0,,,,,,19.0,110.0,,275.0,,,1710.0,0.0,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25904,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",,179.0,,179.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,30.0,,130.0,611.0,,,70.0,11.0,,80.0,110.0,,343.0,,,446.0,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25905,"Soupe aux légumes variés, déshydratée reconstituée",,144.0,,144.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,21.0,426.0,,,1.0,7.0,,,60.0,,276.0,,,261.0,0.0,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25907,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",,155.0,,155.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,16.0,450.0,,,,,,16.0,94.0,,290.0,,,120.0,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25908,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",,129.0,,129.0,,,,,,1.0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,5.0,,,,,,,,,17.0,,,326.0,,1.0,119.0,0.0,,0.0,,,,,,,,2.0,
1,102,0,entrées et plats composés,soupes,,25909,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,2.0,,1.0,15.0,0.0,430.0,,0.0,,,,,,0.0,,,0.0,,,12.0,
1,102,0,entrées et plats composés,soupes,,25910,"Soupe à l'oignon, préemballée à réchauffer",,169.0,,169.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,,12.0,,,,,1.0,,4.0,28.0,,315.0,,1.0,1.0,0.0,,,,,,,,0.0,,6.0,0.0
1,102,0,entrées et plats composés,soupes,,25912,"Soupe aux champignons, préemballée à réchauffer",,201.0,,201.0,,92.0,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,7.0,490.0,,,,2.0,,12.0,62.0,,312.0,,,0.0,,,,,,,,,,,1.0,0.0
1,102,0,entrées et plats composés,soupes,,25913,"Soupe à la carotte, préemballée à réchauffer",,139.0,,139.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,15.0,,,,,7.0,,20.0,140.0,,259.0,,4.0,3500.0,,,,,11.0,,,,,,9.0,
1,102,0,entrées et plats composés,soupes,,25914,"Soupe à la tomate, préemballée à réchauffer",,163.0,,163.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,11.0,416.0,,,,,,15.0,130.0,,259.0,,,1680.0,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25915,"Soupe chorba frik, à base de viande et de frik",,263.0,,263.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,11.0,,19.0,,,,2.0,17.0,,54.0,157.0,,337.0,,,172.0,,,,,,,,,,,16.0,
1,102,0,entrées et plats composés,soupes,,25916,"Soupe minestrone, préemballée à réchauffer",,204.0,,204.0,,,,,,2.0,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,460.0,,,1.0,,,,106.0,,300.0,,0.0,885.0,0.0,,,,,,,,,,10.0,0.0
1,102,0,entrées et plats composés,soupes,,25917,"Soupe au pistou, déshydratée reconstituée",,128.0,,128.0,,,,,,,,,,,,,,4.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,,19.0,,,,1.0,14.0,,24.0,132.0,,256.0,,0.0,900.0,,,,,7.0,,,,,,18.0,
1,102,0,entrées et plats composés,soupes,,25919,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",,122.0,29.0,122.0,29.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,253.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25923,"Soupe asiatique, avec pâtes, déshydratée reconstituée",,126.0,,126.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25924,"Soupe marocaine, déshydratée reconstituée",,145.0,,145.0,,90.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25925,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",,110.0,,110.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,417.0,,,,,,,,,292.0,,10.0,90.0,,,,,30.0,,,,,,,
1,102,0,entrées et plats composés,soupes,,25928,"Soupe à la volaille et aux légumes, déshydratée reconstituée",,115.0,,115.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,,,,,,,,3.0,,,,,,8.0,
1,102,0,entrées et plats composés,soupes,,25930,"Bouillon de boeuf, déshydraté reconstitué",,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,2.0,,,,0.0,290.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,
1,102,0,entrées et plats composés,soupes,,25932,"Soupe aux asperges, déshydratée reconstituée",,148.0,,148.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,10.0,
1,102,0,entrées et plats composés,soupes,,25933,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",,158.0,,158.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,,,,,20.0,,,,,,,
1,102,0,entrées et plats composés,soupes,,25934,"Soupe aux céréales et aux légumes, déshydratée reconstituée",,201.0,,201.0,,90.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,312.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25935,"Soupe à la tomate, déshydratée reconstituée",,152.0,,152.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,11.0,417.0,,,,5.0,,10.0,65.0,,278.0,,,147.0,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25936,"Soupe aux champignons, déshydratée reconstituée",,158.0,,158.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,10.0,512.0,,,,,,,48.0,,311.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25942,"Soupe à l'oignon, déshydratée reconstituée",,101.0,24.0,101.0,24.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,20.0,517.0,,,1.0,,,,,,318.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25945,"Soupe au potiron, préemballée à réchauffer",,150.0,,150.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,15.0,421.0,,,,,,17.0,130.0,,256.0,,,2530.0,0.0,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25947,"Bouillon de volaille, déshydraté reconstitué",,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,5.0,,0.0,,,1.0,,0.0,10.0,0.0,312.0,,1.0,0.0,,,,,0.0,,,,,0.0,1.0,
1,102,0,entrées et plats composés,soupes,,25948,"Bouillon de légumes, déshydraté reconstitué",,,,,,98.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,2.0,,0.0,8.0,,240.0,,0.0,2.0,,,,,0.0,,,,,0.0,1.0,0.0
1,102,0,entrées et plats composés,soupes,,25949,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,343.0,,,,,,0.0,62.0,,271.0,,,162.0,,,,,,,,,,,11.0,
1,102,0,entrées et plats composés,soupes,,25950,"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",,90.0,,90.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,,14.0,36.0,,272.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25953,"Soupe au pistou, préemballée à réchauffer",,134.0,,134.0,,,2.0,2.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25954,"Soupe au potiron, déshydratée reconstituée",,161.0,,161.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25955,"Soupe asiatique, avec pâtes, préemballée à réchauffer",,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25956,"Soupe minestrone, déshydratée reconstituée",,132.0,,132.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,427.0,,,,,,,122.0,,281.0,,,,,,,,5.0,,,,,,18.0,
1,102,0,entrées et plats composés,soupes,,25957,"Soupe au cresson, déshydratée reconstituée",,105.0,,105.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25958,"Soupe au cresson, préemballée à réchauffer",,143.0,34.0,143.0,34.0,,1.0,1.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,,,30.0,
1,102,0,entrées et plats composés,soupes,,25962,"Soupe aux légumes avec fromage, préemballée à réchauffer",,210.0,,210.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,,,,,,,,11.0,,,,,,30.0,
1,102,0,entrées et plats composés,soupes,,25963,"Soupe aux légumes verts, préemballée à réchauffer",,140.0,,140.0,,,1.0,1.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,24.0,423.0,,,,,,24.0,120.0,,280.0,,,177.0,,,,,9.0,,,,,,,
1,102,0,entrées et plats composés,soupes,,25964,"Soupe aux légumes verts, déshydratée reconstituée",,146.0,,146.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,12.0,446.0,,,,3.0,,15.0,50.0,,264.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25965,"Soupe aux pois cassés, préemballée à réchauffer",,238.0,,238.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25967,"Soupe froide type Gaspacho ou Gazpacho, préemballée",,137.0,,137.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,11.0,468.0,,,,,,25.0,210.0,,293.0,,,291.0,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25968,"Soupe aux asperges, préemballée à réchauffer",,551.0,133.0,551.0,133.0,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25969,Soupe (aliment moyen),,157.0,,157.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,454.0,,,,,,,108.0,,296.0,,,1090.0,,,,,,,,,,,,
1,102,0,entrées et plats composés,soupes,,25972,"Soupe miso, déshydratée reconstituée",,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,18.0,661.0,,,70.0,,,19.0,49.0,,438.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,8601,Tripes à la mode de Caen,,487.0,116.0,487.0,116.0,74.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,1.0,,,,,,119.0,,23.0,,,,6.0,,,,,,423.0,,,,,,,,0.0,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,8602,"Tripes à la mode de Caen, préemballées",,469.0,112.0,469.0,112.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,8612,Tripes à la tomate ou à la provençale,,396.0,,396.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,751.0,,,,,,,,,492.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25001,Blanquette de veau,,474.0,113.0,474.0,113.0,,,,,4.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,1.0,,,,,,,,,,15.0,432.0,,,,12.0,,110.0,190.0,,295.0,,,736.0,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25033,Boeuf bourguignon,,355.0,,355.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,64.0,,,409.0,,,,,,215.0,230.0,,354.0,,10.0,,,,,,,,,,,,11.0,
1,103,10301,entrées et plats composés,plats composés,,25035,"Sauté d'agneau au curry, préemballé",,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,200.0,,514.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25058,"Canard en sauce (poivre vert, chasseur, etc.), préemballé",,605.0,145.0,605.0,145.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25063,"Lapin à la moutarde, préemballé",,453.0,108.0,453.0,108.0,,,,,5.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25121,Coq au vin,,555.0,133.0,555.0,133.0,,13.0,13.0,4.0,7.0,1.0,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,65.0,,14.0,,,,,16.0,,128.0,145.0,,420.0,,,0.0,,,,,,,,,,,31.0,
1,103,10301,entrées et plats composés,plats composés,,25125,Paupiette de veau,,801.0,193.0,801.0,193.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,133.0,272.0,,510.0,,,1160.0,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25126,Paupiette de volaille,,691.0,164.0,691.0,164.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,264.0,,251.0,,,1160.0,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25172,Viande en sauce (aliment moyen),,436.0,104.0,436.0,104.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,471.0,,,,,,142.0,198.0,,341.0,,,542.0,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25174,Poulet au curry et au lait de coco,,517.0,124.0,517.0,124.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,18.0,625.0,,,,18.0,,110.0,210.0,,427.0,,,412.0,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25175,"Meloukhia, plat à base de boeuf et corete, fait maison",,783.0,189.0,783.0,189.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,88.0,228.0,,373.0,2.0,0.0,143.0,0.0,,,,,,,,,,20.0,
1,103,10301,entrées et plats composés,plats composés,,25200,"Palette à la diable, préemballée",,501.0,120.0,501.0,120.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,901.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25201,"Langue de boeuf sauce madère, préemballée",,746.0,180.0,746.0,180.0,,,,,,,,,,,,,,1.0,0.0,,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25207,"Porc au caramel, préemballé",,569.0,136.0,569.0,136.0,,10.0,10.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,29.0,,,805.0,,,,12.0,,94.0,160.0,,536.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25211,"Boulettes au boeuf, à la sauce tomate, préemballées",,487.0,117.0,487.0,117.0,,9.0,9.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25213,"Paupiette de veau, préemballée,  cuite au four",,1150.0,276.0,1150.0,276.0,,22.0,22.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,24.0,558.0,,,,18.0,,180.0,260.0,,428.0,,,,,,,,,,,,,,,
1,103,10301,entrées et plats composés,plats composés,,25538,"Carpaccio de boeuf, avec marinade",,1120.0,271.0,1120.0,271.0,57.0,,,,23.0,,,,,,,,,,0.0,,0.0,,,10.0,4.0,,,,,,,,,,,,,,,,,112.0,,,,,,,187.0,242.0,,437.0,,,,,,,,,,,,,,12.0,
