alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_sci,"energie, règlement ue n° 1169/2011 (kj/100 g)","energie, règlement ue n° 1169/2011 (kcal/100 g)","energie, n x facteur jones, avec fibres  (kj/100 g)","energie, n x facteur jones, avec fibres  (kcal/100 g)",eau (g/100 g),"protéines, n x facteur de jones (g/100 g)","protéines, n x 6.25 (g/100 g)",glucides (g/100 g),lipides (g/100 g),sucres (g/100 g),fructose (g/100 g),galactose (g/100 g),glucose (g/100 g),lactose (g/100 g),maltose (g/100 g),saccharose (g/100 g),amidon (g/100 g),fibres alimentaires (g/100 g),polyols totaux (g/100 g),cendres (g/100 g),alcool (g/100 g),acides organiques (g/100 g),ag saturés (g/100 g),ag monoinsaturés (g/100 g),ag polyinsaturés (g/100 g),"ag 4:0, butyrique (g/100 g)","ag 6:0, caproïque (g/100 g)","ag 8:0, caprylique (g/100 g)","ag 10:0, caprique (g/100 g)","ag 12:0, laurique (g/100 g)","ag 14:0, myristique (g/100 g)","ag 16:0, palmitique (g/100 g)","ag 18:0, stéarique (g/100 g)","ag 18:1 9c (n-9), oléique (g/100 g)","ag 18:2 9c,12c (n-6), linoléique (g/100 g)","ag 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","ag 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","ag 20:5 5c,8c,11c,14c,17c (n-3) epa (g/100 g)","ag 22:6 4c,7c,10c,13c,16c,19c (n-3) dha (g/100 g)",cholestérol (mg/100 g),sel chlorure de sodium (g/100 g),calcium (mg/100 g),chlorure (mg/100 g),cuivre (mg/100 g),fer (mg/100 g),iode (µg/100 g),magnésium (mg/100 g),manganèse (mg/100 g),phosphore (mg/100 g),potassium (mg/100 g),sélénium (µg/100 g),sodium (mg/100 g),zinc (mg/100 g),rétinol (µg/100 g),beta-carotène (µg/100 g),vitamine d (µg/100 g),vitamine e (mg/100 g),vitamine k1 (µg/100 g),vitamine k2 (µg/100 g),vitamine c (mg/100 g),vitamine b1 ou thiamine (mg/100 g),vitamine b2 ou riboflavine (mg/100 g),vitamine b3 ou pp ou niacine (mg/100 g),vitamine b5 ou acide pantothénique (mg/100 g),vitamine b6 (mg/100 g),vitamine b9 ou folates totaux (µg/100 g),vitamine b12 (µg/100 g)
6,603,60303,eaux et autres boissons,boisson alcoolisées,,1016,Marsala aux oeufs,,640.0,153.0,640.0,153.0,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,
6,603,60303,eaux et autres boissons,boisson alcoolisées,,1021,Crème de cassis,,1030.0,245.0,1030.0,245.0,,0.0,0.0,41.0,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,128.0,,0.0,,0.0,,0.0,,,,5.0,,,,,,,0.0
6,603,60303,eaux et autres boissons,boisson alcoolisées,,1023,"Eau de vie de vin, type armagnac, cognac",,945.0,228.0,945.0,228.0,68.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,,32.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,603,60303,eaux et autres boissons,boisson alcoolisées,,1024,"Eau de vie, type calvados",,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
6,603,60303,eaux et autres boissons,boisson alcoolisées,,1026,Saké ou Alcool de riz,,552.0,133.0,552.0,133.0,,0.0,0.0,5.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,5.0,,,,,6.0,,6.0,25.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
6,603,60304,eaux et autres boissons,boisson alcoolisées,,1012,Cocktail à base de rhum,,,,,,65.0,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,8.0,,,,,8.0,,7.0,71.0,,6.0,,0.0,1.0,,,,,,,,,,,12.0,0.0
6,603,60304,eaux et autres boissons,boisson alcoolisées,,1013,Cocktail à base de whisky,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,46.0,,,,,3.0,,4.0,4.0,,47.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0
6,603,60304,eaux et autres boissons,boisson alcoolisées,,1017,Sangria,,,,,,83.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,,3.0,,0.0,54.0,0.0,,,,,,,,,,,0.0
6,603,60304,eaux et autres boissons,boisson alcoolisées,,1018,Kir (au vin blanc),,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,18.0,108.0,,,,0.0,,0.0,,,,,,,,,,,0.0
6,603,60304,eaux et autres boissons,boisson alcoolisées,,1019,Kir royal (au champagne),,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,11.0,,,,,0.0,,0.0,,,,,,,,,,,0.0
6,603,60304,eaux et autres boissons,boisson alcoolisées,,1022,"Cocktail type punch, 16% alcool",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,13.0,43.0,,,,,,,,,,,,,,,,,
6,603,60304,eaux et autres boissons,boisson alcoolisées,,2008,Cocktail sans alcool (à base de jus de fruits et de sirop),,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,132.0,,2.0,,0.0,75.0,0.0,1.0,,,12.0,,,,,,30.0,
6,603,60304,eaux et autres boissons,boisson alcoolisées,,5004,Panaché (limonade et bière),,152.0,,152.0,,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
6,603,60304,eaux et autres boissons,boisson alcoolisées,,5005,Panaché préemballé (<1° alc.),,107.0,,107.0,,94.0,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,
7,701,0,produits sucrés,"sucres, miels et assimilés",,11506,"Édulcorant à l'aspartame, en pastilles",,904.0,216.0,904.0,216.0,,,,,0.0,,,,,,,,,,57.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0,,,,,,,,,,,,,,,
7,701,0,produits sucrés,"sucres, miels et assimilés",,11509,"Édulcorant à l'aspartame, en poudre",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,701,0,produits sucrés,"sucres, miels et assimilés",,11510,Vermicelles multicolores,,,,,,,,,93.0,5.0,91.0,,,,,,,,,,,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,701,0,produits sucrés,"sucres, miels et assimilés",,31008,Miel,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,2.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31016,Sucre blanc,,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31017,Sucre roux,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,83.0,,,,,,,3.0,227.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,1.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31034,Sirop d'érable,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,106.0,,,,,21.0,,2.0,219.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31044,Sucre vanillé,,,,,,,,,99.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
7,701,0,produits sucrés,"sucres, miels et assimilés",,31046,Caramel liquide ou nappage caramel,,,,,,,0.0,0.0,81.0,0.0,61.0,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
7,701,0,produits sucrés,"sucres, miels et assimilés",,31064,Édulcorant à la saccharine,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,4.0,0.0,428.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31067,Mélasse de canne,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,205.0,,,,,242.0,,31.0,1460.0,,37.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31076,Sucre allégé à l'aspartame,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31077,Fructose,,,,,,,0.0,0.0,,0.0,,95.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,5.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,701,0,produits sucrés,"sucres, miels et assimilés",,31087,Édulcorant à base d'extrait de stévia,,993.0,238.0,993.0,238.0,,,,98.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,
7,701,0,produits sucrés,"sucres, miels et assimilés",,31089,Sirop d'agave,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31000,Barre chocolatée biscuitée,,2180.0,523.0,2180.0,523.0,,,,,,,,,,,,,,,,,0.0,,16.0,,,,,,,,,,,,,,,0.0,,,,263.0,,,,,45.0,,234.0,356.0,,155.0,,188.0,,,,,,,,,,,,,
